region,iso3c
AFR,"BEN, BFA, BWA, CIV, CMR, ETH, GHA, GIN, KEN, MDG, MOZ, MUS, MWI, NGA, RWA, SEN, TGO, TZA, UGA, ZAF, ZMB, ZWE"
CPA,"CHN, KHM, LAO, MNG, VNM"
EEU,ALB
EU27,"AUT, BEL, BGR, CYP, CZE, DEU, DNK, ESP, EST, FIN, FRA, GRC, HRV, HUN, IRL, ITA, LTU, LUX, LVA, MLT, NLD, POL, PRT, ROU, SVK, SVN, SWE"
FSU,"ARM, AZE, BLR, GEO, KAZ, KGZ, RUS, TJK, UKR"
LAM,"ARG, BOL, BRA, CHL, COL, CRI, DOM, ECU, GTM, HND, JAM, MEX, NIC, PAN, PER, PRY, SLV, TTO, URY"
MEA,"ARE, BHR, EGY, IRN, ISR, JOR, KWT, MAR, OMN, QAT, SAU, TUN"
NAM,"CAN, USA"
OWEU,"CHE, GBR, TUR"
PAO,"AUS, JPN, NZL"
PAS,"BRN, IDN, KOR, MYS, PHL, SGP, THA"
ROW,ROW
SAS,"BGD, IND, LKA, NPL, PAK"
